ID_Año,Año,ID_Estado,Estado,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Anual
001,2003,7,Chiapas,23.9,13.5,35.6,26.5,145.4,314.6,232.9,309.8,371.5,253.4,155.4,53.1,1935.6
002,2004,7,Chiapas,45.7,42.3,31.1,42.8,193.8,250.2,249.1,195.7,310.8,235.2,69.1,48,1713.8
003,2005,7,Chiapas,8.5,19.7,33.8,47.4,158.4,413.4,350.8,338.9,362.7,315,56.8,85.3,2190.7
004,2006,7,Chiapas,78.4,47.3,32.2,49.2,229.7,447,356.7,285.1,339.4,323.5,94.4,71.3,2354.2
005,2007,7,Chiapas,104,31.6,33.4,58.5,148,256.6,279.3,459.1,368.3,503.2,41.4,19.2,2302.6
006,2008,7,Chiapas,69.9,50.6,33.3,90.8,203.2,431.3,390,315.8,486,224.2,25.8,34,2354.9
007,2009,7,Chiapas,47,18.5,29,27,168.1,369,214.5,333.7,300,245.9,142,58.4,1953.1
008,2010,7,Chiapas,45.1,17.8,14.8,70.4,186.4,507.5,395.1,756.7,559.5,58.4,89.9,28.7,2730.3
009,2011,7,Chiapas,46,37.1,84.3,74.2,149.5,300.6,458.5,433.7,422.3,273.7,58.8,42.9,2381.6
010,2012,7,Chiapas,53.3,38.6,58.2,57.8,181.1,264,211.8,418.1,321.3,194.4,29,57.7,1885.3
011,2013,7,Chiapas,59,16.9,15.7,29.6,214.6,339.3,248.4,309.9,394.9,299.5,193.2,157.8,2278.9
012,2014,7,Chiapas,67.3,19.6,37.9,93.6,262.3,348.2,150,225.5,461.7,291.5,80.1,18.5,2056.1
013,2015,7,Chiapas,82.5,31,52.9,80.6,126.9,206.9,134.7,196.5,341.1,247.1,150.3,90.6,1741.1
014,2016,7,Chiapas,33.9,26.6,30,28.9,143.8,281.9,177.8,306.7,314.7,128,91.7,50.2,1614.2
015,2017,7,Chiapas,36.8,8.1,23.1,64,262.3,409.4,254.3,249.2,401.7,228.8,37.9,18.4,1994.0
016,2018,7,Chiapas,99.6,20,30.1,101.7,165.2,237.8,117.8,257,301,224.9,118.4,31.7,1705.3
017,2019,7,Chiapas,39.8,28.5,34.6,14,200.4,277,142.6,236.5,308.2,359.7,66.5,59.7,1767.4
018,2020,7,Chiapas,28.4,46.9,21,32.4,239.4,409.1,182.5,345.9,373.1,251.8,199.1,38.3,2167.9
019,2021,7,Chiapas,52.1,17,48.7,31.3,230.2,319.2,162.7,299,320.1,227.8,57.5,41.6,1807.2
020,2022,7,Chiapas,74.5,78.3,30.3,84.4,158.4,305.3,196,283,425.7,188.5,152.2,77.5,2054
,2023,7,Chiapas,66.2,63.7,38.2,23.5,96.6,207.8,263.7,224.6,250.1,247.9,139.2,80,1701.4
